x,y,z
0.2577862,-0.4728438,-0.8425938
0.2577862,-0.4728438,-0.8425938
0.2577862,-0.4728438,-0.8425938
0.2577862,-0.4728438,-0.8425938
0.2577862,-0.4728438,-0.8425938
0.2258645,-0.3785275,-0.8976089
0.2258645,-0.3785275,-0.8976089
0.2258645,-0.3785275,-0.8976089
0.2258645,-0.3785275,-0.8976089
0.2258645,-0.3785275,-0.8976089
0.2241845,-0.3316514,-0.9163777
0.2241845,-0.3316514,-0.9163777
0.2241845,-0.3316514,-0.9163777
0.2241845,-0.3316514,-0.9163777
0.2241845,-0.3316514,-0.9163777
0.2447095,-0.3121164,-0.9179872
0.2447095,-0.3121164,-0.9179872
0.2300854,-0.2826718,-0.9312127
0.2300854,-0.2826718,-0.9312127
0.2300854,-0.2826718,-0.9312127
0.2300854,-0.2826718,-0.9312127
0.2300854,-0.2826718,-0.9312127
0.2229994,-0.2534424,-0.9412959
0.2229994,-0.2534424,-0.9412959
0.2229994,-0.2534424,-0.9412959
0.2229994,-0.2534424,-0.9412959
0.1987463,-0.205341,-0.9582979
0.1987463,-0.205341,-0.9582979
0.1987463,-0.205341,-0.9582979
0.1987463,-0.205341,-0.9582979
0.1987463,-0.205341,-0.9582979
0.1856614,-0.1924454,-0.9635842
0.1856614,-0.1924454,-0.9635842
0.1856614,-0.1924454,-0.9635842
0.1856614,-0.1924454,-0.9635842
0.180873,-0.179556,-0.966977
0.180873,-0.179556,-0.966977
0.180873,-0.179556,-0.966977
0.180873,-0.179556,-0.966977
0.1896777,-0.1722013,-0.9666276
0.1896777,-0.1722013,-0.9666276
0.1896777,-0.1722013,-0.9666276
0.1896777,-0.1722013,-0.9666276
0.2071631,-0.1850439,-0.9606467
0.2071631,-0.1850439,-0.9606467
0.2071631,-0.1850439,-0.9606467
0.2071631,-0.1850439,-0.9606467
0.2211799,-0.1984808,-0.9548218
0.2211799,-0.1984808,-0.9548218
0.2211799,-0.1984808,-0.9548218
0.2211799,-0.1984808,-0.9548218
0.2211799,-0.1984808,-0.9548218
0.2312899,-0.2125498,-0.9493827
0.2312899,-0.2125498,-0.9493827
0.2312899,-0.2125498,-0.9493827
0.2312899,-0.2125498,-0.9493827
0.2312899,-0.2125498,-0.9493827
0.2312899,-0.2125498,-0.9493827
0.233179,-0.2337591,-0.9439196
0.233179,-0.2337591,-0.9439196
0.233179,-0.2337591,-0.9439196
0.233179,-0.2337591,-0.9439196
0.2210278,-0.2375403,-0.9458969
0.2210278,-0.2375403,-0.9458969
0.2210278,-0.2375403,-0.9458969
0.2210278,-0.2375403,-0.9458969
0.1730586,-0.2483639,-0.9530823
0.1730586,-0.2483639,-0.9530823
0.1730586,-0.2483639,-0.9530823
0.1730586,-0.2483639,-0.9530823
0.1730586,-0.2483639,-0.9530823
0.05695743,-0.2647274,-0.9626396
0.05695743,-0.2647274,-0.9626396
0.05695743,-0.2647274,-0.9626396
0.05695743,-0.2647274,-0.9626396
0.05695743,-0.2647274,-0.9626396
-0.08573086,-0.2919604,-0.9525803
-0.08573086,-0.2919604,-0.9525803
-0.08573086,-0.2919604,-0.9525803
-0.08573086,-0.2919604,-0.9525803
-0.1470972,-0.300271,-0.9424434
-0.1470972,-0.300271,-0.9424434
-0.1470972,-0.300271,-0.9424434
-0.1470972,-0.300271,-0.9424434
-0.1470972,-0.300271,-0.9424434
-0.2117602,-0.2867241,-0.9343162
-0.2117602,-0.2867241,-0.9343162
-0.2117602,-0.2867241,-0.9343162
-0.2117602,-0.2867241,-0.9343162
-0.2117602,-0.2867241,-0.9343162
-0.204449,-0.2389136,-0.9492738
-0.204449,-0.2389136,-0.9492738
-0.204449,-0.2389136,-0.9492738
-0.1958223,-0.2040907,-0.9591665
-0.1958223,-0.2040907,-0.9591665
-0.1958223,-0.2040907,-0.9591665
-0.1958223,-0.2040907,-0.9591665
-0.01111456,-0.003721902,-0.9999313
-0.01111456,-0.003721902,-0.9999313
-0.01111456,-0.003721902,-0.9999313
-0.01111456,-0.003721902,-0.9999313
-0.07905911,-0.01046351,-0.996815
-0.07905911,-0.01046351,-0.996815
-0.07905911,-0.01046351,-0.996815
-0.07905911,-0.01046351,-0.996815
-0.07905911,-0.01046351,-0.996815
-0.07905911,-0.01046351,-0.996815
-0.2263921,-0.01514488,-0.9739184
-0.2263921,-0.01514488,-0.9739184
-0.3394929,-0.02597338,-0.9402498
-0.3394929,-0.02597338,-0.9402498
-0.3394929,-0.02597338,-0.9402498
-0.3394929,-0.02597338,-0.9402498
-0.3394929,-0.02597338,-0.9402498
-0.3072294,-0.02417178,-0.9513284
-0.3072294,-0.02417178,-0.9513284
-0.3072294,-0.02417178,-0.9513284
-0.3072294,-0.02417178,-0.9513284
-0.03984291,0.01568102,-0.9990829
-0.03984291,0.01568102,-0.9990829
-0.03984291,0.01568102,-0.9990829
-0.03984291,0.01568102,-0.9990829
-0.03984291,0.01568102,-0.9990829
-0.03984291,0.01568102,-0.9990829
-0.08594316,0.002009528,-0.996298
-0.08594316,0.002009528,-0.996298
-0.08594316,0.002009528,-0.996298
-0.08594316,0.002009528,-0.996298
-0.06226849,0.01041328,-0.998005
-0.06226849,0.01041328,-0.998005
-0.06226849,0.01041328,-0.998005
-0.06367365,0.01030733,-0.9979175
-0.06367365,0.01030733,-0.9979175
-0.06367365,0.01030733,-0.9979175
-0.06367365,0.01030733,-0.9979175
-0.06109698,0.01185741,-0.9980614
-0.06109698,0.01185741,-0.9980614
-0.06109698,0.01185741,-0.9980614
-0.06109698,0.01185741,-0.9980614
-0.06109698,0.01185741,-0.9980614
-0.0614824,0.01239648,-0.9980311
-0.0614824,0.01239648,-0.9980311
-0.0614824,0.01239648,-0.9980311
-0.0614824,0.01239648,-0.9980311
-0.0614824,0.01239648,-0.9980311
-0.0623484,0.01234679,-0.9979781
-0.0623484,0.01234679,-0.9979781
-0.0623484,0.01234679,-0.9979781
-0.0623484,0.01234679,-0.9979781
-0.06207427,0.01366858,-0.9979779
-0.06207427,0.01366858,-0.9979779
-0.06207427,0.01366858,-0.9979779
-0.06200497,0.01547354,-0.9979559
-0.06200497,0.01547354,-0.9979559
-0.06200497,0.01547354,-0.9979559
-0.06200497,0.01547354,-0.9979559
-0.06200497,0.01547354,-0.9979559
-0.06181313,0.01719892,-0.9979395
