x,y,z
-0.1014557,-0.3132462,-0.9442369
-0.1014557,-0.3132462,-0.9442369
-0.1014557,-0.3132462,-0.9442369
-0.1014557,-0.3132462,-0.9442369
-0.1014557,-0.3132462,-0.9442369
-0.1091608,-0.3310193,-0.9372886
-0.1091608,-0.3310193,-0.9372886
-0.1091608,-0.3310193,-0.9372886
-0.1091608,-0.3310193,-0.9372886
-0.1091608,-0.3310193,-0.9372886
-0.1173108,-0.3347847,-0.9349638
-0.1173108,-0.3347847,-0.9349638
-0.1173108,-0.3347847,-0.9349638
-0.1145387,-0.2833578,-0.9521497
-0.1145387,-0.2833578,-0.9521497
-0.1145387,-0.2833578,-0.9521497
-0.1145387,-0.2833578,-0.9521497
-0.1145387,-0.2833578,-0.9521497
-0.111281,-0.282998,-0.9526429
-0.111281,-0.282998,-0.9526429
-0.111281,-0.282998,-0.9526429
-0.111281,-0.282998,-0.9526429
-0.1034978,-0.2894342,-0.951586
-0.1034978,-0.2894342,-0.951586
-0.1034978,-0.2894342,-0.951586
-0.1034978,-0.2894342,-0.951586
-0.1034978,-0.2894342,-0.951586
-0.100073,-0.2900329,-0.9517701
-0.100073,-0.2900329,-0.9517701
-0.100073,-0.2900329,-0.9517701
-0.100073,-0.2900329,-0.9517701
-0.09893223,-0.2889888,-0.9522067
-0.09893223,-0.2889888,-0.9522067
-0.09893223,-0.2889888,-0.9522067
-0.09893223,-0.2889888,-0.9522067
-0.09929507,-0.2835453,-0.9538042
-0.09929507,-0.2835453,-0.9538042
-0.09929507,-0.2835453,-0.9538042
-0.09929507,-0.2835453,-0.9538042
-0.09929507,-0.2835453,-0.9538042
-0.08653267,-0.2873332,-0.9539138
-0.08653267,-0.2873332,-0.9539138
-0.08653267,-0.2873332,-0.9539138
-0.08653267,-0.2873332,-0.9539138
-0.08653267,-0.2873332,-0.9539138
-0.07680659,-0.2923757,-0.9532141
-0.07680659,-0.2923757,-0.9532141
-0.07680659,-0.2923757,-0.9532141
-0.07680659,-0.2923757,-0.9532141
-0.06409563,-0.2905569,-0.9547085
-0.06409563,-0.2905569,-0.9547085
-0.06409563,-0.2905569,-0.9547085
-0.06409563,-0.2905569,-0.9547085
-0.06409563,-0.2905569,-0.9547085
-0.03454871,-0.2550355,-0.9663143
-0.03454871,-0.2550355,-0.9663143
-0.03454871,-0.2550355,-0.9663143
-0.03454871,-0.2550355,-0.9663143
-0.03826065,-0.2516937,-0.9670503
-0.03826065,-0.2516937,-0.9670503
-0.03826065,-0.2516937,-0.9670503
-0.03826065,-0.2516937,-0.9670503
-0.03826065,-0.2516937,-0.9670503
-0.03095446,-0.2452115,-0.9689752
-0.03095446,-0.2452115,-0.9689752
-0.03095446,-0.2452115,-0.9689752
-0.03095446,-0.2452115,-0.9689752
-0.03095446,-0.2452115,-0.9689752
-0.03095446,-0.2452115,-0.9689752
-0.03095446,-0.2452115,-0.9689752
-0.01947366,-0.2382912,-0.9709985
-0.01947366,-0.2382912,-0.9709985
-0.01947366,-0.2382912,-0.9709985
0.09288111,0.1562532,-0.9833403
0.09288111,0.1562532,-0.9833403
0.09288111,0.1562532,-0.9833403
0.0466721,0.1376158,-0.9893855
0.0466721,0.1376158,-0.9893855
0.0466721,0.1376158,-0.9893855
0.0466721,0.1376158,-0.9893855
0.0466721,0.1376158,-0.9893855
0.0466721,0.1376158,-0.9893855
0.3611862,0.3148862,-0.877719
0.3611862,0.3148862,-0.877719
0.3611862,0.3148862,-0.877719
0.3611862,0.3148862,-0.877719
0.3611862,0.3148862,-0.877719
0.4490786,0.3447384,-0.8243079
0.4490786,0.3447384,-0.8243079
0.4490786,0.3447384,-0.8243079
0.4490786,0.3447384,-0.8243079
0.3117839,0.3168729,-0.8957576
0.3117839,0.3168729,-0.8957576
0.3117839,0.3168729,-0.8957576
0.3117839,0.3168729,-0.8957576
0.3117839,0.3168729,-0.8957576
0.1563982,0.291408,-0.9437271
0.1563982,0.291408,-0.9437271
0.1563982,0.291408,-0.9437271
0.1647782,0.3145418,-0.9348323
0.1647782,0.3145418,-0.9348323
0.1647782,0.3145418,-0.9348323
0.1647782,0.3145418,-0.9348323
0.1647782,0.3145418,-0.9348323
0.1647782,0.3145418,-0.9348323
0.1657182,0.3031706,-0.9384161
0.1657182,0.3031706,-0.9384161
0.1657182,0.3031706,-0.9384161
0.1657182,0.3031706,-0.9384161
0.1657182,0.3031706,-0.9384161
0.1561181,0.289813,-0.9442645
0.1561181,0.289813,-0.9442645
0.1561181,0.289813,-0.9442645
0.1561181,0.289813,-0.9442645
0.1561181,0.289813,-0.9442645
0.1509004,0.2812155,-0.947706
0.1509004,0.2812155,-0.947706
0.1509004,0.2812155,-0.947706
0.1509004,0.2812155,-0.947706
0.1441479,0.271293,-0.9516414
0.1441479,0.271293,-0.9516414
0.1441479,0.271293,-0.9516414
0.1441479,0.271293,-0.9516414
0.1441479,0.271293,-0.9516414
0.1410486,0.2668017,-0.9533741
0.1410486,0.2668017,-0.9533741
0.1410486,0.2668017,-0.9533741
0.1410486,0.2668017,-0.9533741
0.1243789,0.2430644,-0.9620029
0.1243789,0.2430644,-0.9620029
0.1243789,0.2430644,-0.9620029
0.1243789,0.2430644,-0.9620029
0.1243789,0.2430644,-0.9620029
0.1243789,0.2430644,-0.9620029
0.1143578,0.2288606,-0.9667187
0.1143578,0.2288606,-0.9667187
0.1000895,0.2088317,-0.9728162
0.1000895,0.2088317,-0.9728162
0.1000895,0.2088317,-0.9728162
0.1000895,0.2088317,-0.9728162
0.09979691,0.2008848,-0.9745182
0.09979691,0.2008848,-0.9745182
0.09979691,0.2008848,-0.9745182
0.09979691,0.2008848,-0.9745182
0.09979691,0.2008848,-0.9745182
0.09554325,0.1785825,-0.9792752
0.09554325,0.1785825,-0.9792752
0.09554325,0.1785825,-0.9792752
0.09554325,0.1785825,-0.9792752
