x,y,z
-0.05560918,-0.4014451,-0.9141933
-0.05560918,-0.4014451,-0.9141933
-0.05560918,-0.4014451,-0.9141933
-0.05560918,-0.4014451,-0.9141933
-0.1211571,-0.365918,-0.9227269
-0.1211571,-0.365918,-0.9227269
-0.1211571,-0.365918,-0.9227269
-0.1211571,-0.365918,-0.9227269
-0.2633882,-0.2961988,-0.9180918
-0.2633882,-0.2961988,-0.9180918
-0.2633882,-0.2961988,-0.9180918
-0.2633882,-0.2961988,-0.9180918
-0.3586119,-0.2726574,-0.8927794
-0.3586119,-0.2726574,-0.8927794
-0.3586119,-0.2726574,-0.8927794
-0.3586119,-0.2726574,-0.8927794
-0.407124,-0.2780125,-0.8700338
-0.407124,-0.2780125,-0.8700338
-0.407124,-0.2780125,-0.8700338
-0.407124,-0.2780125,-0.8700338
-0.5125841,-0.3030786,-0.8033682
-0.5125841,-0.3030786,-0.8033682
-0.5125841,-0.3030786,-0.8033682
-0.5125841,-0.3030786,-0.8033682
-0.5125841,-0.3030786,-0.8033682
-0.5692192,-0.3284379,-0.7537358
-0.5692192,-0.3284379,-0.7537358
-0.5692192,-0.3284379,-0.7537358
-0.5692192,-0.3284379,-0.7537358
-0.5692192,-0.3284379,-0.7537358
-0.5344928,-0.3343962,-0.776206
-0.5344928,-0.3343962,-0.776206
-0.5344928,-0.3343962,-0.776206
-0.5344928,-0.3343962,-0.776206
-0.3265399,-0.317167,-0.89038
-0.3265399,-0.317167,-0.89038
-0.3265399,-0.317167,-0.89038
-0.3265399,-0.317167,-0.89038
-0.05263852,-0.2735252,-0.9604234
-0.05263852,-0.2735252,-0.9604234
-0.05263852,-0.2735252,-0.9604234
-0.05263852,-0.2735252,-0.9604234
0.07612266,-0.2429872,-0.967038
0.07612266,-0.2429872,-0.967038
0.07612266,-0.2429872,-0.967038
0.07612266,-0.2429872,-0.967038
0.2189581,-0.2120969,-0.9524032
0.2189581,-0.2120969,-0.9524032
0.2189581,-0.2120969,-0.9524032
0.2189581,-0.2120969,-0.9524032
0.2189581,-0.2120969,-0.9524032
0.2779903,-0.2046639,-0.9385275
0.2779903,-0.2046639,-0.9385275
0.2779903,-0.2046639,-0.9385275
0.2779903,-0.2046639,-0.9385275
0.2779903,-0.2046639,-0.9385275
0.2779903,-0.2046639,-0.9385275
0.2921094,-0.2052033,-0.9341112
0.2921094,-0.2052033,-0.9341112
0.2921094,-0.2052033,-0.9341112
0.2921094,-0.2052033,-0.9341112
0.2921094,-0.2052033,-0.9341112
0.3135439,-0.2086158,-0.9263744
0.3135439,-0.2086158,-0.9263744
0.3135439,-0.2086158,-0.9263744
0.3135439,-0.2086158,-0.9263744
0.361616,-0.1818758,-0.9144151
0.361616,-0.1818758,-0.9144151
0.361616,-0.1818758,-0.9144151
0.361616,-0.1818758,-0.9144151
0.1892853,-0.01881274,-0.9817419
0.1892853,-0.01881274,-0.9817419
0.1892853,-0.01881274,-0.9817419
0.1892853,-0.01881274,-0.9817419
0.1892853,-0.01881274,-0.9817419
0.2177806,-0.07930757,-0.9727702
0.2177806,-0.07930757,-0.9727702
0.2177806,-0.07930757,-0.9727702
0.2177806,-0.07930757,-0.9727702
0.4045834,-0.05115559,-0.9130692
0.4045834,-0.05115559,-0.9130692
