x,y,z
-0.1853226,-0.2328629,-0.9546886
-0.1853226,-0.2328629,-0.9546886
-0.1853226,-0.2328629,-0.9546886
-0.1853226,-0.2328629,-0.9546886
-0.1853226,-0.2328629,-0.9546886
-0.178442,-0.2528754,-0.9509009
-0.178442,-0.2528754,-0.9509009
-0.178442,-0.2528754,-0.9509009
-0.178442,-0.2528754,-0.9509009
-0.1789078,-0.2537051,-0.9505922
-0.1789078,-0.2537051,-0.9505922
-0.1789078,-0.2537051,-0.9505922
-0.1789078,-0.2537051,-0.9505922
-0.1891667,-0.2256791,-0.9556594
-0.1891667,-0.2256791,-0.9556594
-0.1891667,-0.2256791,-0.9556594
-0.1891667,-0.2256791,-0.9556594
-0.1937005,-0.2275661,-0.9543027
-0.1937005,-0.2275661,-0.9543027
-0.1937005,-0.2275661,-0.9543027
-0.1937005,-0.2275661,-0.9543027
-0.1937005,-0.2275661,-0.9543027
-0.188071,-0.2344662,-0.9537582
-0.188071,-0.2344662,-0.9537582
-0.188071,-0.2344662,-0.9537582
-0.188071,-0.2344662,-0.9537582
-0.188071,-0.2344662,-0.9537582
-0.188071,-0.2344662,-0.9537582
-0.1761938,-0.237035,-0.9553899
-0.1761938,-0.237035,-0.9553899
-0.1761938,-0.237035,-0.9553899
-0.176907,-0.234083,-0.9559858
-0.176907,-0.234083,-0.9559858
-0.176907,-0.234083,-0.9559858
-0.176907,-0.234083,-0.9559858
-0.1800861,-0.2319287,-0.9559173
-0.1800861,-0.2319287,-0.9559173
-0.1800861,-0.2319287,-0.9559173
-0.1800861,-0.2319287,-0.9559173
-0.1766045,-0.2356438,-0.9556583
-0.1766045,-0.2356438,-0.9556583
-0.1766045,-0.2356438,-0.9556583
-0.1766045,-0.2356438,-0.9556583
-0.1766045,-0.2356438,-0.9556583
-0.16247,-0.2398198,-0.9571258
-0.16247,-0.2398198,-0.9571258
-0.16247,-0.2398198,-0.9571258
-0.16247,-0.2398198,-0.9571258
-0.16247,-0.2398198,-0.9571258
-0.1567066,-0.2385104,-0.9584131
-0.1567066,-0.2385104,-0.9584131
-0.1567066,-0.2385104,-0.9584131
-0.1260536,-0.2428738,-0.961833
-0.1260536,-0.2428738,-0.961833
-0.1260536,-0.2428738,-0.961833
-0.1260536,-0.2428738,-0.961833
-0.1260536,-0.2428738,-0.961833
-0.07030795,-0.2471107,-0.9664331
-0.07030795,-0.2471107,-0.9664331
-0.07030795,-0.2471107,-0.9664331
-0.07030795,-0.2471107,-0.9664331
-0.04424939,-0.269968,-0.9618518
-0.04424939,-0.269968,-0.9618518
-0.04424939,-0.269968,-0.9618518
-0.04424939,-0.269968,-0.9618518
-0.04424939,-0.269968,-0.9618518
-0.04424939,-0.269968,-0.9618518
-0.03644179,-0.2851205,-0.9577985
-0.03644179,-0.2851205,-0.9577985
-0.03644179,-0.2851205,-0.9577985
-0.003097773,-0.3078278,-0.951437
-0.003097773,-0.3078278,-0.951437
-0.003097773,-0.3078278,-0.951437
-0.003097773,-0.3078278,-0.951437
-0.003097773,-0.3078278,-0.951437
0.0408402,-0.2230438,-0.9739525
0.0408402,-0.2230438,-0.9739525
0.0408402,-0.2230438,-0.9739525
0.0408402,-0.2230438,-0.9739525
0.0408402,-0.2230438,-0.9739525
0.1040141,0.1361833,-0.9852082
0.1040141,0.1361833,-0.9852082
0.1040141,0.1361833,-0.9852082
0.2056484,0.2152449,-0.9546613
0.2056484,0.2152449,-0.9546613
0.2056484,0.2152449,-0.9546613
0.2056484,0.2152449,-0.9546613
0.2056484,0.2152449,-0.9546613
0.3067878,0.2800404,-0.9096473
0.3067878,0.2800404,-0.9096473
0.3067878,0.2800404,-0.9096473
0.3067878,0.2800404,-0.9096473
0.3067878,0.2800404,-0.9096473
0.3986246,0.3460546,-0.8493199
0.3986246,0.3460546,-0.8493199
0.3986246,0.3460546,-0.8493199
0.3986246,0.3460546,-0.8493199
0.2244582,0.3875852,-0.8940895
0.2244582,0.3875852,-0.8940895
0.2244582,0.3875852,-0.8940895
0.2244582,0.3875852,-0.8940895
0.1932626,0.3606367,-0.912464
0.1932626,0.3606367,-0.912464
0.1932626,0.3606367,-0.912464
0.1932626,0.3606367,-0.912464
0.1932626,0.3606367,-0.912464
0.1665342,0.3734365,-0.9125849
0.1665342,0.3734365,-0.9125849
0.1665342,0.3734365,-0.9125849
0.1665342,0.3734365,-0.9125849
0.1748083,0.3471426,-0.921376
0.1748083,0.3471426,-0.921376
0.1748083,0.3471426,-0.921376
0.1748083,0.3471426,-0.921376
0.1748083,0.3471426,-0.921376
0.1727787,0.340004,-0.9244158
0.1727787,0.340004,-0.9244158
0.1727787,0.340004,-0.9244158
0.1727787,0.340004,-0.9244158
0.1727787,0.340004,-0.9244158
0.1638034,0.3184336,-0.9336853
0.1638034,0.3184336,-0.9336853
