x,y,z
0.2434099,-0.4370302,-0.8658845
0.2434099,-0.4370302,-0.8658845
0.2434099,-0.4370302,-0.8658845
0.2434099,-0.4370302,-0.8658845
0.2434099,-0.4370302,-0.8658845
0.2249184,-0.4093774,-0.8842068
0.2249184,-0.4093774,-0.8842068
0.2249184,-0.4093774,-0.8842068
0.2249184,-0.4093774,-0.8842068
0.2249184,-0.4093774,-0.8842068
0.2147898,-0.3841926,-0.8979204
0.2147898,-0.3841926,-0.8979204
0.2147898,-0.3841926,-0.8979204
0.2147898,-0.3841926,-0.8979204
0.2033508,-0.370222,-0.9064127
0.2033508,-0.370222,-0.9064127
0.2033508,-0.370222,-0.9064127
0.1815501,-0.3913352,-0.9021618
0.1815501,-0.3913352,-0.9021618
0.1815501,-0.3913352,-0.9021618
0.1815501,-0.3913352,-0.9021618
0.1747019,-0.3807267,-0.9080342
0.1747019,-0.3807267,-0.9080342
0.1747019,-0.3807267,-0.9080342
0.1747019,-0.3807267,-0.9080342
0.1675744,-0.3684819,-0.9144067
0.1675744,-0.3684819,-0.9144067
0.1675744,-0.3684819,-0.9144067
0.1675744,-0.3684819,-0.9144067
0.1675744,-0.3684819,-0.9144067
0.1675744,-0.3684819,-0.9144067
0.1539229,-0.3574102,-0.9211761
0.1539229,-0.3574102,-0.9211761
0.1539229,-0.3574102,-0.9211761
0.1539229,-0.3574102,-0.9211761
0.1353681,-0.3466099,-0.9281901
0.1353681,-0.3466099,-0.9281901
0.1353681,-0.3466099,-0.9281901
0.1353681,-0.3466099,-0.9281901
0.1362303,-0.3429045,-0.9294394
0.1362303,-0.3429045,-0.9294394
0.1362303,-0.3429045,-0.9294394
0.1362303,-0.3429045,-0.9294394
0.1353652,-0.3220797,-0.936985
0.1353652,-0.3220797,-0.936985
0.1353652,-0.3220797,-0.936985
0.1353652,-0.3220797,-0.936985
0.1353652,-0.3220797,-0.936985
0.1308044,-0.3019998,-0.9442915
0.1308044,-0.3019998,-0.9442915
0.1308044,-0.3019998,-0.9442915
0.1308044,-0.3019998,-0.9442915
0.1308044,-0.3019998,-0.9442915
0.1308044,-0.3019998,-0.9442915
0.1319887,-0.2945052,-0.9464911
0.1319887,-0.2945052,-0.9464911
0.1319887,-0.2945052,-0.9464911
